,女性有権者団体,短期大学生,経営者団体,大学教授・研究者・専門職等
原子力,1,1,8,20
自動車,2,5,3,1
銃(handgun),3,2,1,4
喫煙,4,3,4,2
バイク,5,6,2,6
アルコール飲料,6,7,5,3
自家用飛行機,7,15,1,12
警察職務,8,8,7,17
殺虫剤,9,4,15,8
外科手術,10,11,9,5
消防職務,11,10,6,18
大規模建設工事,12,14,13,13
狩猟,13,18,10,23
ス プレー,14,13,22,26
登山,15,22,12,29
自転車,16,24,14,15
飛行機,17,16,18,16
電気(electric power),18,19,19,9
水泳,19,30,17,10
避妊ピル,20,9,22,1
スキー,21,25,16,30
X 線,22,17,24,7
フットボール,23,26,21,27
鉄道,24,23,20,19
食品添加物,25,12,28,14
食品着色料,26,20,30,21
自動芝刈機,27,28,25,28
抗生物質,28,21,26,24
家庭用具,29,27,27,22
予防注射,30,29,29,25
